node_id,name,original_name,former_name,jurisdiction,jurisdiction_description,company_type,address,internal_id,incorporation_date,inactivation_date,struck_off_date,dorm_date,status,service_provider,ibcRUC,country_codes,countries,sourceID,valid_until,note
10007264,RIZA DEVELOPMENT INC.,RIZA DEVELOPMENT INC.,,PMA,Panama,,RIZA DEVELOPMENT INC. C/RAIMUNDO FERNANDEZ VILLAVERDE 19-2º IZQ. 28003 MADRID ESPAÑA *S.I.*,11889,16-NOV-1989,,,,Active,Mossack Fonseca,87,ESP,Spain,Panama Papers,The Panama Papers data is current through 2015,
10017976,SERVICO INTERNATIONAL INC.,SERVICO INTERNATIONAL INC.,,PMA,Panama,,SERVICO INTERNATIONAL INC. C/RAIMUNDO FERNANDEZ VILLAVERDE 19-2º IZQ. 28003 MADRID ESPAÑA,2060,23-DEC-1981,,,,Active,Mossack Fonseca,30,ESP,Spain,Panama Papers,The Panama Papers data is current through 2015,
10019007,Asian Biz Center & Consulting Company Limited,Asian Biz Center & Consulting Company Limited,,SEY,Seychelles,,ASIAN-BIZ CENTER & CONSULTING 26/F; 333 TIAN YAO QIAO ROAD; ASCENDAS PLAZA; SHANGHAI; P.R. OF CHINA,208314,09-OCT-2007,,,,Active,Mossack Fonseca,041296,CHN,China,Panama Papers,The Panama Papers data is current through 2015,
10021518,Rising Dragon International Trading Company Limited,Rising Dragon International Trading Company Limited,,SEY,Seychelles,,ASIAN-BIZ CENTER & CONSULTING 26/F; 333 TIAN YAO QIAO ROAD; ASCENDAS PLAZA; SHANGHAI; P.R. OF CHINA,209068,13-MAR-2008,19-JAN-2015,31-DEC-2014,,Defaulted,Mossack Fonseca,046839,CHN,China,Panama Papers,The Panama Papers data is current through 2015,
10023594,SNA LAND SURVEY LTD,SNA LAND SURVEY LTD,,SEY,Seychelles,,HONG KONG IR SECRETARY LIMITED 1B; 561 NAM BIN TSEUN; FA NLING WAI FAN LING N T NEW TERRITORIES HONG KONG,215432,09-JAN-2013,19-JAN-2015,31-DEC-2014,,Defaulted,Mossack Fonseca,117928,HKG,Hong Kong,Panama Papers,The Panama Papers data is current through 2015,
10025199,ALLIANCE FORTUNE GROUP LIMITED,ALLIANCE FORTUNE GROUP LIMITED,,SEY,Seychelles,,BUSINESS CONSULTANTS LIMITED 18A; 18/F; TWO CHINACHEM PLAZA 68 CONNAUGHT ROAD CENTRAL HONG KONG HONG KONG,214720,22-MAY-2012,17-MAR-2015,31-DEC-2015,,Defaulted,Mossack Fonseca,107906,HKG,Hong Kong,Panama Papers,The Panama Papers data is current through 2015,
10025455,ELITE TEAM INTERNATIONAL LIMITED,ELITE TEAM INTERNATIONAL LIMITED,,SEY,Seychelles,,BUSINESS CONSULTANTS LIMITED 18A; 18/F; TWO CHINACHEM PLAZA 68 CONNAUGHT ROAD CENTRAL HONG KONG HONG KONG,214605,18-APR-2012,17-MAR-2015,31-DEC-2015,,Defaulted,Mossack Fonseca,106476,HKG,Hong Kong,Panama Papers,The Panama Papers data is current through 2015,
10026446,FOX LINE INC.,FOX LINE INC.,,PMA,Panama,,SRA. KIKUKO ATARASHI CALLE RAIMUNDO FERNANDEZ VILLAVERDE 19-2º IZQ. 28003 MADRID ESPAÑA,2059,02-DEC-1981,,,,Active,Mossack Fonseca,99,ESP,Spain,Panama Papers,The Panama Papers data is current through 2015,
10029624,Gentruth Limited,Gentruth Limited,,SEY,Seychelles,,HONG KONG IR SECRETARY LIMITED 1B; 561 NAM BIN TSEUN; FA NLING WAI FAN LING N T NEW TERRITORIES HONG KONG,215487,24-JAN-2013,19-JAN-2015,31-DEC-2014,,Defaulted,Mossack Fonseca,118718,HKG,Hong Kong,Panama Papers,The Panama Papers data is current through 2015,
10030299,WISE WIN DEVELOPMENT LIMITED,WISE WIN DEVELOPMENT LIMITED,,SEY,Seychelles,,BUSINESS CONSULTANTS LIMITED 18A; 18/F; TWO CHINACHEM PLAZA 68 CONNAUGHT ROAD CENTRAL HONG KONG HONG KONG,214627,25-APR-2012,12-MAR-2015,31-DEC-2015,,Defaulted,Mossack Fonseca,106778,HKG,Hong Kong,Panama Papers,The Panama Papers data is current through 2015,
10030308,GOOD CHOICE GROUP LIMITED,GOOD CHOICE GROUP LIMITED,,SEY,Seychelles,,BUSINESS CONSULTANTS LIMITED 18A; 18/F; TWO CHINACHEM PLAZA 68 CONNAUGHT ROAD CENTRAL HONG KONG HONG KONG,214630,25-APR-2012,17-MAR-2015,31-DEC-2015,,Defaulted,Mossack Fonseca,106771,HKG,Hong Kong,Panama Papers,The Panama Papers data is current through 2015,
10032415,PRESS LINE INC.,PRESS LINE INC.,,PMA,Panama,,PRESS LINE INC. C/RAIMUNDO FERNANDEZ VILLAVERDE 19-2º IZQ. 28003 MADRID ESPAÑA *S.I.*,2265,08-JAN-1982,,,,Active,Mossack Fonseca,76,ESP,Spain,Panama Papers,The Panama Papers data is current through 2015,
10033609,TOTAL WIN INTERNATIONAL LTD.,TOTAL WIN INTERNATIONAL LTD.,,SEY,Seychelles,,BUSINESS CONSULTANTS LIMITED 18A; 18/F; TWO CHINACHEM PLAZA 68 CONNAUGHT ROAD CENTRAL HONG KONG HONG KONG,214836,13-JUL-2012,,,,Active,Mossack Fonseca,110118,HKG,Hong Kong,Panama Papers,The Panama Papers data is current through 2015,
